Gesundheitsleistungen_Güter (HC);HF.1 Finanzierungssystem Staat und verpflichtende Beitragssysteme der Gesundheitsfinanzierung;HF.1.1 Finanzierungssystem Staat;HF.1.2 Verpflichtende Beitragssysteme: Krankenversicherungssysteme;HF.1.2.1 Finanzierungssystem Sozialversicherungsträger;HF.1.2.2 Verpflichtende private Krankenversicherungssysteme;HF.2 Freiwillige Systeme der Gesundheitsfinanzierung;HF.2.1 Freiwillige Krankenversicherungssysteme;HF.2.2 Finanzierungssystem Private Organisationen ohne Erwerbszweck;HF.2.3 Finanzierungssystem Unternehmen;HF.3 Selbstzahlungen der privaten Haushalte;HF.3.1 Selbstzahlungen ohne Selbstbehalte;HF.3.2 Selbstbehalte (Kostenteilung mit Dritten);HF.4 Finanzierungssystem übrige Welt;Alle HF - Alle Finanzierungssysteme
HC.6 Prävention;435,437;320,993;114,443;114,443;0,000;56,845;0,000;10,605;46,240;102,078;102,078;0,000;0,000;594,360
HC.7 Verwaltung der Gesundheitsversorgung und Gesundheitssystemfinanzierung;669,463;81,145;588,318;588,318;0,000;474,445;474,445;0,000;0,000;0,000;0,000;0,000;0,000;1143,908
Alle HC - Alle Gesundheitsleistungen und -güter;21415,946;8586,804;12829,142;12829,142;0,000;1941,961;1415,313;480,408;46,240;5212,336;4654,531;557,805;0,000;28570,243
HC.1 Leistungen der kurativen Gesundheitsversorgung;12479,749;4946,469;7533,280;7533,280;0,000;864,473;848,851;15,622;0,000;1894,978;1732,771;162,207;0,000;15239,200
HC.2 Leistungen der rehabilitativen Gesundheitsversorgung;995,263;126,245;869,018;869,018;0,000;201,126;29,783;171,343;0,000;472,753;469,960;2,793;0,000;1669,143
HC.1.1+HC.2.1 Stationäre kurative und rehabilitative Gesundheitsversorgung;8421,738;4003,160;4418,578;4418,578;0,000;936,547;776,128;160,419;0,000;412,450;409,657;2,793;0,000;9770,735
HC.1.1 Stationäre kurative Gesundheitsversorgung;7643,272;3946,902;3696,369;3696,369;0,000;759,850;746,345;13,505;0,000;227,235;227,235;0,000;0,000;8630,357
HC.2.1 Stationäre rehabilitative Gesundheitsversorgung;778,466;56,258;722,209;722,209;0,000;176,697;29,783;146,914;0,000;185,215;182,422;2,793;0,000;1140,378
HC.1.2+HC.2.2 Tagesfälle der kurativen und rehabilitativen Gesundheitsversorgung;136,051;74,788;61,263;61,263;0,000;0,000;0,000;0,000;0,000;1,000;1,000;0,000;0,000;137,051
HC.1.2 Tagesfälle der kurativen Gesundheitsversorgung;136,051;74,788;61,263;61,263;0,000;0,000;0,000;0,000;0,000;1,000;1,000;0,000;0,000;137,051
HC.1.3+HC.2.3 Ambulante kurative und rehabilitative Gesundheitsversorgung;4898,664;991,504;3907,160;3907,160;0,000;129,053;102,506;26,547;0,000;1954,282;1792,074;162,207;0,000;6981,998
HC.1.3 Ambulante kurative Gesundheitsversorgung;4681,867;921,516;3760,351;3760,351;0,000;104,623;102,506;2,117;0,000;1666,744;1504,536;162,207;0,000;6453,234
HC.1.3.1 Allgemeine ambulante Gesundheitsversorgung;1087,343;111,148;976,195;976,195;0,000;5,113;5,113;0,000;0,000;212,290;157,603;54,687;0,000;1304,746
HC.1.3.2 Ambulante zahnärztliche Gesundheitsversorgung;810,549;40,790;769,759;769,759;0,000;38,769;38,769;0,000;0,000;900,197;865,525;34,672;0,000;1749,516
HC.1.3.3 Spezialisierte ambulante Gesundheitsversorgung;2713,046;752,691;1960,355;1960,355;0,000;58,624;58,624;0,000;0,000;439,957;367,109;72,848;0,000;3211,627
HC.1.3.9 Sonstige ambulante kurative Gesundheitsversorgung;70,929;16,887;54,042;54,042;0,000;2,117;0,000;2,117;0,000;114,299;114,299;0,000;0,000;187,345
HC.2.3 Ambulante rehabilitative Gesundheitsversorgung;216,797;69,988;146,809;146,809;0,000;24,430;0,000;24,430;0,000;287,538;287,538;0,000;0,000;528,765
HC.1.4+HC.2.4 Häusliche kurative und rehabilitative Gesundheitsversorgung;18,559;3,262;15,297;15,297;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;18,559
HC.1.4 Häusliche kurative Gesundheitsversorgung;18,559;3,262;15,297;15,297;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;18,559
HC.3.1 Stationäre Langzeitpflege;1255,756;1255,756;0,000;0,000;0,000;0,000;0,000;0,000;0,000;672,243;672,243;0,000;0,000;1927,999
HC.3.2 Tagesfälle der Langzeitpflege;16,257;16,257;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;16,257
HC.3.4 Häusliche Langzeitpflege;1767,545;1755,392;12,154;12,154;0,000;62,212;0,000;62,212;0,000;68,729;68,729;0,000;0,000;1898,486
HC.4.1 Klinische Labore;130,178;0,066;130,112;130,112;0,000;0,000;0,000;0,000;0,000;32,687;32,687;0,000;0,000;162,865
HC.4.2 Bildgebende Diagnoseverfahren;189,097;0,118;188,980;188,980;0,000;0,000;0,000;0,000;0,000;47,476;47,476;0,000;0,000;236,573
HC.4.3 Patiententransporte;274,326;81,840;192,486;192,486;0,000;220,626;0,000;220,626;0,000;25,749;19,719;6,030;0,000;520,701
HC.5.1 Arzneimittel und sonstige medizinische Verbrauchsgüter;2676,925;0,000;2676,925;2676,925;0,000;15,323;15,323;0,000;0,000;1145,283;765,925;379,357;0,000;3837,530
HC.5.1.1 Verschriebene Arzneimittel;2676,925;0,000;2676,925;2676,925;0,000;5,076;5,076;0,000;0,000;379,357;0,000;379,357;0,000;3061,357
HC.5.1.2 Rezeptfreie Arzneimittel;0,000;0,000;0,000;0,000;0,000;9,255;9,255;0,000;0,000;691,709;691,709;0,000;0,000;700,963
HC.5.1.3 Sonstige medizinische Verbrauchsgüter;0,000;0,000;0,000;0,000;0,000;0,993;0,993;0,000;0,000;74,216;74,216;0,000;0,000;75,209
HC.5.2 Therapeutische Hilfsmittel und andere medizinische Güter;525,950;2,522;523,428;523,428;0,000;46,911;46,911;0,000;0,000;750,360;742,942;7,417;0,000;1323,221
HC.7.1 Verwaltung der Gesundheitsversorgung;58,338;58,338;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;58,338
HC.7.2 Verwaltung der Gesundheitssystemfinanzierung;611,125;22,806;588,318;588,318;0,000;474,445;474,445;0,000;0,000;0,000;0,000;0,000;0,000;1085,569
Alle HC - Alle Gesundheitsleistungen und -güter;21415,946;8586,804;12829,142;12829,142;0,000;1941,961;1415,313;480,408;46,240;5212,336;4654,531;557,805;0,000;28570,243
HC.1+HC.2 Leistungen der kurativen und rehabilitativen Gesundheitsversorgung;13984,420;5194,856;8789,564;8789,564;0,000;1076,344;880,504;195,840;0,000;2414,296;2107,706;306,590;0,000;17475,060
HC.3 Langzeitpflege;3368,930;3356,090;12,840;12,840;0,000;64,034;0,000;64,034;0,000;798,513;798,513;0,000;0,000;4231,477
HC.4 Hilfsleistungen der Gesundheitsversorgung;610,441;83,972;526,470;526,470;0,000;242,663;0,000;242,663;0,000;107,834;96,775;11,059;0,000;960,939
HC.5 Medizinische Güter;3051,190;2,290;3048,900;3048,900;0,000;71,628;71,628;0,000;0,000;1892,585;1528,727;363,859;0,000;5015,403
HC.6 Prävention;440,548;322,754;117,794;117,794;0,000;58,868;0,000;11,042;47,826;103,755;103,755;0,000;0,000;603,172
HC.7 Verwaltung der Gesundheitsversorgung und Gesundheitssystemfinanzierung;664,967;77,818;587,149;587,149;0,000;503,859;503,859;0,000;0,000;0,000;0,000;0,000;0,000;1168,826
Alle HC - Alle Gesundheitsleistungen und -güter;22120,497;9037,780;13082,716;13082,716;0,000;2017,396;1455,991;513,579;47,826;5316,984;4635,477;681,508;0,000;29454,877
HC.1 Leistungen der kurativen Gesundheitsversorgung;12919,603;5058,720;7860,883;7860,883;0,000;855,993;848,543;7,450;0,000;1952,774;1697,286;255,488;0,000;15728,370
HC.2 Leistungen der rehabilitativen Gesundheitsversorgung;1064,817;136,135;928,681;928,681;0,000;220,351;31,961;188,390;0,000;461,522;410,421;51,102;0,000;1746,690
HC.1.1+HC.2.1 Stationäre kurative und rehabilitative Gesundheitsversorgung;8703,953;4083,047;4620,907;4620,907;0,000;941,909;774,494;167,415;0,000;393,158;342,057;51,102;0,000;10039,020
HC.1.1 Stationäre kurative Gesundheitsversorgung;7862,746;4018,742;3844,004;3844,004;0,000;747,728;742,533;5,195;0,000;221,927;221,927;0,000;0,000;8832,401
HC.2.1 Stationäre rehabilitative Gesundheitsversorgung;841,208;64,305;776,903;776,903;0,000;194,181;31,961;162,220;0,000;171,231;120,129;51,102;0,000;1206,619
HC.1.2+HC.2.2 Tagesfälle der kurativen und rehabilitativen Gesundheitsversorgung;137,294;74,002;63,292;63,292;0,000;0,000;0,000;0,000;0,000;1,000;1,000;0,000;0,000;138,294
HC.1.2 Tagesfälle der kurativen Gesundheitsversorgung;137,294;74,002;63,292;63,292;0,000;0,000;0,000;0,000;0,000;1,000;1,000;0,000;0,000;138,294
HC.1.3+HC.2.3 Ambulante kurative und rehabilitative Gesundheitsversorgung;5125,158;1035,365;4089,793;4089,793;0,000;134,435;106,010;28,425;0,000;2020,138;1764,650;255,488;0,000;7279,731
HC.1.3 Ambulante kurative Gesundheitsversorgung;4901,549;963,535;3938,014;3938,014;0,000;108,264;106,010;2,254;0,000;1729,847;1474,359;255,488;0,000;6739,660
HC.1.3.1 Allgemeine ambulante Gesundheitsversorgung;1138,630;119,388;1019,243;1019,243;0,000;5,577;5,577;0,000;0,000;224,627;168,895;55,731;0,000;1368,834
HC.1.3.2 Ambulante zahnärztliche Gesundheitsversorgung;810,501;40,402;770,099;770,099;0,000;36,777;36,777;0,000;0,000;930,918;804,927;125,990;0,000;1778,196
HC.1.3.3 Spezialisierte ambulante Gesundheitsversorgung;2880,656;788,203;2092,453;2092,453;0,000;63,656;63,656;0,000;0,000;458,984;385,218;73,767;0,000;3403,296
HC.1.3.9 Sonstige ambulante kurative Gesundheitsversorgung;71,762;15,542;56,220;56,220;0,000;2,254;0,000;2,254;0,000;115,318;115,318;0,000;0,000;189,334
HC.2.3 Ambulante rehabilitative Gesundheitsversorgung;223,609;71,831;151,778;151,778;0,000;26,171;0,000;26,171;0,000;290,291;290,291;0,000;0,000;540,071
HC.1.4+HC.2.4 Häusliche kurative und rehabilitative Gesundheitsversorgung;18,014;2,442;15,573;15,573;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;18,014
HC.1.4 Häusliche kurative Gesundheitsversorgung;18,014;2,442;15,573;15,573;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;18,014
HC.3.1 Stationäre Langzeitpflege;1400,083;1400,083;0,000;0,000;0,000;0,000;0,000;0,000;0,000;717,687;717,687;0,000;0,000;2117,770
HC.3.2 Tagesfälle der Langzeitpflege;19,236;19,236;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;19,236
HC.3.4 Häusliche Langzeitpflege;1949,612;1936,771;12,840;12,840;0,000;64,034;0,000;64,034;0,000;80,826;80,826;0,000;0,000;2094,472
HC.4.1 Klinische Labore;131,588;0,068;131,520;131,520;0,000;0,000;0,000;0,000;0,000;33,366;33,366;0,000;0,000;164,953
HC.4.2 Bildgebende Diagnoseverfahren;189,810;0,113;189,697;189,697;0,000;0,000;0,000;0,000;0,000;48,125;48,125;0,000;0,000;237,935
HC.4.3 Patiententransporte;289,044;83,791;205,253;205,253;0,000;242,663;0,000;242,663;0,000;26,344;15,285;11,059;0,000;558,051
HC.5.1 Arzneimittel und sonstige medizinische Verbrauchsgüter;2506,365;0,000;2506,365;2506,365;0,000;19,865;19,865;0,000;0,000;1117,141;760,646;356,496;0,000;3643,371
HC.5.1.1 Verschriebene Arzneimittel;2506,365;0,000;2506,365;2506,365;0,000;6,339;6,339;0,000;0,000;356,496;0,000;356,496;0,000;2869,200
HC.5.1.2 Rezeptfreie Arzneimittel;0,000;0,000;0,000;0,000;0,000;12,142;12,142;0,000;0,000;682,838;682,838;0,000;0,000;694,980
HC.5.1.3 Sonstige medizinische Verbrauchsgüter;0,000;0,000;0,000;0,000;0,000;1,384;1,384;0,000;0,000;77,808;77,808;0,000;0,000;79,191
HC.5.2 Therapeutische Hilfsmittel und andere medizinische Güter;544,825;2,290;542,535;542,535;0,000;51,763;51,763;0,000;0,000;775,444;768,081;7,363;0,000;1372,032
HC.7.1 Verwaltung der Gesundheitsversorgung;53,274;53,274;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;53,274
HC.7.2 Verwaltung der Gesundheitssystemfinanzierung;611,693;24,545;587,149;587,149;0,000;503,859;503,859;0,000;0,000;0,000;0,000;0,000;0,000;1115,552
Alle HC - Alle Gesundheitsleistungen und -güter;22120,497;9037,780;13082,716;13082,716;0,000;2017,396;1455,991;513,579;47,826;5316,984;4635,477;681,508;0,000;29454,877
HC.1+HC.2 Leistungen der kurativen und rehabilitativen Gesundheitsversorgung;14325,256;5441,749;8883,507;8883,507;0,000;1099,087;899,392;199,695;0,000;2525,782;2211,181;314,601;0,000;17950,125
HC.3 Langzeitpflege;3459,499;3446,739;12,760;12,760;0,000;68,600;0,000;68,600;0,000;897,604;897,604;0,000;0,000;4425,703
HC.4 Hilfsleistungen der Gesundheitsversorgung;622,411;87,008;535,403;535,403;0,000;231,728;0,000;231,728;0,000;120,573;108,799;11,774;0,000;974,712
HC.5 Medizinische Güter;3056,712;1,970;3054,742;3054,742;0,000;78,452;78,452;0,000;0,000;1970,779;1598,471;372,309;0,000;5105,943
HC.6 Prävention;450,395;331,507;118,888;118,888;0,000;60,258;0,000;11,479;48,779;111,073;111,073;0,000;0,000;621,725
HC.7 Verwaltung der Gesundheitsversorgung und Gesundheitssystemfinanzierung;661,743;74,770;586,973;586,973;0,000;503,700;503,700;0,000;0,000;0,000;0,000;0,000;0,000;1165,443
Alle HC - Alle Gesundheitsleistungen und -güter;22576,015;9383,743;13192,273;13192,273;0,000;2041,824;1481,544;511,501;48,779;5625,811;4927,127;698,684;0,000;30243,651
HC.1 Leistungen der kurativen Gesundheitsversorgung;13194,184;5305,468;7888,715;7888,715;0,000;876,413;866,349;10,064;0,000;2066,161;1805,553;260,608;0,000;16136,758
HC.2 Leistungen der rehabilitativen Gesundheitsversorgung;1131,072;136,280;994,792;994,792;0,000;222,674;33,043;189,631;0,000;459,621;405,628;53,993;0,000;1813,367
HC.1.1+HC.2.1 Stationäre kurative und rehabilitative Gesundheitsversorgung;8960,755;4270,290;4690,465;4690,465;0,000;958,610;787,573;171,037;0,000;398,024;344,031;53,993;0,000;10317,389
HC.1.1 Stationäre kurative Gesundheitsversorgung;8061,960;4208,960;3853,000;3853,000;0,000;762,262;754,530;7,732;0,000;245,832;245,832;0,000;0,000;9070,054
HC.2.1 Stationäre rehabilitative Gesundheitsversorgung;898,795;61,330;837,465;837,465;0,000;196,349;33,043;163,306;0,000;152,192;98,199;53,993;0,000;1247,335
HC.1.2+HC.2.2 Tagesfälle der kurativen und rehabilitativen Gesundheitsversorgung;147,137;81,007;66,130;66,130;0,000;0,000;0,000;0,000;0,000;1,000;1,000;0,000;0,000;148,137
HC.1.2 Tagesfälle der kurativen Gesundheitsversorgung;147,137;81,007;66,130;66,130;0,000;0,000;0,000;0,000;0,000;1,000;1,000;0,000;0,000;148,137
HC.1.3+HC.2.3 Ambulante kurative und rehabilitative Gesundheitsversorgung;5199,029;1087,631;4111,398;4111,398;0,000;140,477;111,819;28,658;0,000;2126,758;1866,150;260,608;0,000;7466,264
HC.1.3 Ambulante kurative Gesundheitsversorgung;4966,752;1012,680;3954,072;3954,072;0,000;114,151;111,819;2,332;0,000;1819,329;1558,721;260,608;0,000;6900,233
HC.1.3.1 Allgemeine ambulante Gesundheitsversorgung;1135,876;115,459;1020,417;1020,417;0,000;4,296;4,296;0,000;0,000;242,801;186,576;56,225;0,000;1382,972
HC.1.3.2 Ambulante zahnärztliche Gesundheitsversorgung;824,424;40,563;783,861;783,861;0,000;36,790;36,790;0,000;0,000;942,499;813,539;128,960;0,000;1803,713
HC.1.3.3 Spezialisierte ambulante Gesundheitsversorgung;2927,130;837,248;2089,881;2089,881;0,000;70,733;70,733;0,000;0,000;512,076;436,654;75,423;0,000;3509,939
HC.1.3.9 Sonstige ambulante kurative Gesundheitsversorgung;79,323;19,409;59,913;59,913;0,000;2,332;0,000;2,332;0,000;121,953;121,953;0,000;0,000;203,608
HC.2.3 Ambulante rehabilitative Gesundheitsversorgung;232,277;74,951;157,326;157,326;0,000;26,325;0,000;26,325;0,000;307,429;307,429;0,000;0,000;566,032
HC.1.4+HC.2.4 Häusliche kurative und rehabilitative Gesundheitsversorgung;18,335;2,821;15,514;15,514;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;18,335
HC.1.4 Häusliche kurative Gesundheitsversorgung;18,335;2,821;15,514;15,514;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;18,335
HC.3.1 Stationäre Langzeitpflege;1431,600;1431,600;0,000;0,000;0,000;0,000;0,000;0,000;0,000;800,635;800,635;0,000;0,000;2232,236
HC.3.2 Tagesfälle der Langzeitpflege;21,511;21,511;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;21,511
HC.3.4 Häusliche Langzeitpflege;2006,387;1993,627;12,760;12,760;0,000;68,600;0,000;68,600;0,000;96,968;96,968;0,000;0,000;2171,955
HC.4.1 Klinische Labore;136,783;0,068;136,715;136,715;0,000;0,000;0,000;0,000;0,000;38,857;38,857;0,000;0,000;175,640
HC.4.2 Bildgebende Diagnoseverfahren;191,202;0,106;191,095;191,095;0,000;0,000;0,000;0,000;0,000;54,313;54,313;0,000;0,000;245,515
HC.4.3 Patiententransporte;294,426;86,834;207,592;207,592;0,000;231,728;0,000;231,728;0,000;27,403;15,629;11,774;0,000;553,557
HC.5.1 Arzneimittel und sonstige medizinische Verbrauchsgüter;2519,768;0,000;2519,768;2519,768;0,000;18,623;18,623;0,000;0,000;1157,382;792,486;364,896;0,000;3695,773
HC.5.1.1 Verschriebene Arzneimittel;2519,768;0,000;2519,768;2519,768;0,000;5,871;5,871;0,000;0,000;364,896;0,000;364,896;0,000;2890,536
HC.5.1.2 Rezeptfreie Arzneimittel;0,000;0,000;0,000;0,000;0,000;11,455;11,455;0,000;0,000;711,921;711,921;0,000;0,000;723,377
HC.5.1.3 Sonstige medizinische Verbrauchsgüter;0,000;0,000;0,000;0,000;0,000;1,296;1,296;0,000;0,000;80,564;80,564;0,000;0,000;81,861
HC.5.2 Therapeutische Hilfsmittel und andere medizinische Güter;536,944;1,970;534,974;534,974;0,000;59,829;59,829;0,000;0,000;813,397;805,985;7,412;0,000;1410,170
HC.7.1 Verwaltung der Gesundheitsversorgung;49,366;49,366;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;49,366
HC.7.2 Verwaltung der Gesundheitssystemfinanzierung;612,377;25,404;586,973;586,973;0,000;503,700;503,700;0,000;0,000;0,000;0,000;0,000;0,000;1116,077
Alle HC - Alle Gesundheitsleistungen und -güter;22576,015;9383,743;13192,273;13192,273;0,000;2041,824;1481,544;511,501;48,779;5625,811;4927,127;698,684;0,000;30243,651
HC.1+HC.2 Leistungen der kurativen und rehabilitativen Gesundheitsversorgung;14715,254;5516,452;9198,802;9198,802;0,000;1115,008;911,550;203,458;0,000;2594,144;2271,733;322,411;0,000;18424,406
HC.3 Langzeitpflege;3569,352;3556,656;12,696;12,696;0,000;63,600;0,000;63,600;0,000;920,910;920,910;0,000;0,000;4553,862
HC.4 Hilfsleistungen der Gesundheitsversorgung;642,531;100,837;541,693;541,693;0,000;204,866;0,000;204,866;0,000;123,808;111,989;11,818;0,000;971,204
HC.5 Medizinische Güter;3153,371;1,917;3151,454;3151,454;0,000;84,598;84,598;0,000;0,000;2069,292;1688,178;381,114;0,000;5307,261
HC.6 Prävention;454,204;333,199;121,005;121,005;0,000;63,171;0,000;12,570;50,601;118,709;118,709;0,000;0,000;636,084
HC.7 Verwaltung der Gesundheitsversorgung und Gesundheitssystemfinanzierung;665,833;91,952;573,881;573,881;0,000;535,261;535,261;0,000;0,000;0,000;0,000;0,000;0,000;1201,094
Alle HC - Alle Gesundheitsleistungen und -güter;23200,545;9601,014;13599,531;13599,531;0,000;2066,503;1531,409;484,493;50,601;5826,863;5111,519;715,343;0,000;31093,911
HC.1 Leistungen der kurativen Gesundheitsversorgung;13519,797;5376,355;8143,443;8143,443;0,000;886,466;877,743;8,723;0,000;2088,982;1827,661;261,320;0,000;16495,245
HC.2 Leistungen der rehabilitativen Gesundheitsversorgung;1195,457;140,097;1055,360;1055,360;0,000;228,542;33,807;194,735;0,000;505,163;444,072;61,091;0,000;1929,161
HC.1.1+HC.2.1 Stationäre kurative und rehabilitative Gesundheitsversorgung;9190,243;4319,261;4870,982;4870,982;0,000;971,079;797,590;173,489;0,000;384,948;323,857;61,091;0,000;10546,271
HC.1.1 Stationäre kurative Gesundheitsversorgung;8237,216;4256,448;3980,768;3980,768;0,000;770,306;763,783;6,523;0,000;211,217;211,217;0,000;0,000;9218,739
HC.2.1 Stationäre rehabilitative Gesundheitsversorgung;953,027;62,813;890,214;890,214;0,000;200,773;33,807;166,966;0,000;173,731;112,640;61,091;0,000;1327,531
HC.1.2+HC.2.2 Tagesfälle der kurativen und rehabilitativen Gesundheitsversorgung;164,258;91,275;72,983;72,983;0,000;0,000;0,000;0,000;0,000;1,000;1,000;0,000;0,000;165,258
HC.1.2 Tagesfälle der kurativen Gesundheitsversorgung;164,258;91,275;72,983;72,983;0,000;0,000;0,000;0,000;0,000;1,000;1,000;0,000;0,000;165,258
HC.1.3+HC.2.3 Ambulante kurative und rehabilitative Gesundheitsversorgung;5341,952;1103,020;4238,932;4238,932;0,000;143,929;113,960;29,969;0,000;2208,196;1946,876;261,320;0,000;7694,077
HC.1.3 Ambulante kurative Gesundheitsversorgung;5099,522;1025,736;4073,786;4073,786;0,000;116,160;113,960;2,200;0,000;1876,765;1615,444;261,320;0,000;7092,446
HC.1.3.1 Allgemeine ambulante Gesundheitsversorgung;1152,869;108,795;1044,073;1044,073;0,000;4,374;4,374;0,000;0,000;246,522;189,375;57,147;0,000;1403,764
HC.1.3.2 Ambulante zahnärztliche Gesundheitsversorgung;834,348;45,934;788,415;788,415;0,000;36,314;36,314;0,000;0,000;973,108;845,659;127,449;0,000;1843,770
HC.1.3.3 Spezialisierte ambulante Gesundheitsversorgung;3026,510;849,052;2177,458;2177,458;0,000;73,272;73,272;0,000;0,000;525,520;448,795;76,724;0,000;3625,302
HC.1.3.9 Sonstige ambulante kurative Gesundheitsversorgung;85,795;21,955;63,840;63,840;0,000;2,200;0,000;2,200;0,000;131,615;131,615;0,000;0,000;219,610
HC.2.3 Ambulante rehabilitative Gesundheitsversorgung;242,430;77,284;165,146;165,146;0,000;27,769;0,000;27,769;0,000;331,432;331,432;0,000;0,000;601,630
HC.1.4+HC.2.4 Häusliche kurative und rehabilitative Gesundheitsversorgung;18,801;2,896;15,905;15,905;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;18,801
HC.1.4 Häusliche kurative Gesundheitsversorgung;18,801;2,896;15,905;15,905;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;18,801
HC.3.1 Stationäre Langzeitpflege;1492,035;1492,035;0,000;0,000;0,000;0,000;0,000;0,000;0,000;809,798;809,798;0,000;0,000;2301,833
HC.3.2 Tagesfälle der Langzeitpflege;25,470;25,470;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;25,470
HC.3.4 Häusliche Langzeitpflege;2051,848;2039,152;12,696;12,696;0,000;63,600;0,000;63,600;0,000;111,112;111,112;0,000;0,000;2226,559
HC.4.1 Klinische Labore;143,669;0,082;143,587;143,587;0,000;0,000;0,000;0,000;0,000;40,090;40,090;0,000;0,000;183,759
HC.4.2 Bildgebende Diagnoseverfahren;190,659;0,100;190,560;190,560;0,000;0,000;0,000;0,000;0,000;53,205;53,205;0,000;0,000;243,865
HC.4.3 Patiententransporte;308,202;100,655;207,547;207,547;0,000;204,866;0,000;204,866;0,000;30,512;18,694;11,818;0,000;543,580
HC.5.1 Arzneimittel und sonstige medizinische Verbrauchsgüter;2598,579;0,000;2598,579;2598,579;0,000;19,540;19,540;0,000;0,000;1203,658;830,265;373,393;0,000;3821,777
HC.5.1.1 Verschriebene Arzneimittel;2598,579;0,000;2598,579;2598,579;0,000;6,062;6,062;0,000;0,000;373,393;0,000;373,393;0,000;2978,034
HC.5.1.2 Rezeptfreie Arzneimittel;0,000;0,000;0,000;0,000;0,000;12,193;12,193;0,000;0,000;751,056;751,056;0,000;0,000;763,249
HC.5.1.3 Sonstige medizinische Verbrauchsgüter;0,000;0,000;0,000;0,000;0,000;1,286;1,286;0,000;0,000;79,209;79,209;0,000;0,000;80,494
HC.5.2 Therapeutische Hilfsmittel und andere medizinische Güter;554,792;1,917;552,875;552,875;0,000;65,058;65,058;0,000;0,000;865,634;857,913;7,721;0,000;1485,484
HC.7.1 Verwaltung der Gesundheitsversorgung;65,389;65,389;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;65,389
HC.7.2 Verwaltung der Gesundheitssystemfinanzierung;600,444;26,563;573,881;573,881;0,000;535,261;535,261;0,000;0,000;0,000;0,000;0,000;0,000;1135,705
Alle HC - Alle Gesundheitsleistungen und -güter;23200,545;9601,014;13599,531;13599,531;0,000;2066,503;1531,409;484,493;50,601;5826,863;5111,519;715,343;0,000;31093,911
HC.1+HC.2 Leistungen der kurativen und rehabilitativen Gesundheitsversorgung;15478,282;5882,003;9596,279;9596,279;0,000;1149,592;943,683;205,909;0,000;2693,303;2367,933;325,370;0,000;19321,177
HC.3 Langzeitpflege;3701,161;3688,871;12,289;12,289;0,000;62,273;0,000;62,273;0,000;998,943;998,943;0,000;0,000;4762,376
HC.4 Hilfsleistungen der Gesundheitsversorgung;673,982;120,885;553,097;553,097;0,000;220,876;0,000;220,876;0,000;125,155;112,845;12,311;0,000;1020,012
HC.5 Medizinische Güter;3231,752;1,517;3230,235;3230,235;0,000;94,037;94,037;0,000;0,000;2144,337;1755,625;388,712;0,000;5470,126
HC.6 Prävention;468,577;338,410;130,166;130,166;0,000;64,920;0,000;13,868;51,052;107,327;107,327;0,000;0,000;640,825
HC.7 Verwaltung der Gesundheitsversorgung und Gesundheitssystemfinanzierung;716,672;86,513;630,159;630,159;0,000;568,732;568,732;0,000;0,000;0,000;0,000;0,000;0,000;1285,404
Alle HC - Alle Gesundheitsleistungen und -güter;24270,425;10118,200;14152,225;14152,225;0,000;2160,430;1606,452;502,925;51,052;6069,065;5342,673;726,393;0,000;32499,920
HC.1 Leistungen der kurativen Gesundheitsversorgung;14199,796;5728,558;8471,239;8471,239;0,000;918,579;909,364;9,215;0,000;2140,963;1880,261;260,702;0,000;17259,338
HC.2 Leistungen der rehabilitativen Gesundheitsversorgung;1278,486;153,446;1125,040;1125,040;0,000;231,012;34,319;196,693;0,000;552,340;487,672;64,668;0,000;2061,838
HC.1.1+HC.2.1 Stationäre kurative und rehabilitative Gesundheitsversorgung;9640,045;4560,247;5079,798;5079,798;0,000;995,704;822,066;173,638;0,000;432,218;367,550;64,668;0,000;11067,967
HC.1.1 Stationäre kurative Gesundheitsversorgung;8619,287;4493,285;4126,002;4126,002;0,000;794,499;787,747;6,752;0,000;230,392;230,392;0,000;0,000;9644,178
HC.2.1 Stationäre rehabilitative Gesundheitsversorgung;1020,758;66,962;953,795;953,795;0,000;201,205;34,319;166,886;0,000;201,826;137,158;64,668;0,000;1423,789
